entity,total_mentions,doc_freq
서정적감각,2,1
자살,2,1
리얼리즘시,2,1
모더니즘진영,2,1
비동일성,2,1
신성성,2,1
서정의신성성,2,1
텅빈기표,2,2
서정의고갈이나위기,2,1
반시,2,1
비시,2,1
비서정,2,1
서정의진화,2,1
정합적인언어,2,1
언어의질감,2,1
고정된주체,2,1
행복한서정,2,1
내파,2,1
서정적화자의권위의소멸,2,1
서정의권위,2,2
직관,2,2
현대문학사,2,1
중진,2,1
순수서정,2,1
자유시,2,1
기행시,2,1
민중시인들,2,1
서정화,2,1
민주화운동,2,2
생태의식,2,1
생태계,2,1
동물,2,1
일상적삶,2,1
자연서정,2,1
신화적자연,2,1
탈일상적자연,2,1
청춘,2,1
시장자본주의,2,1
해석자,2,1
문학적인것,2,2
실패,2,1
애도,2,1
페미니스트,2,1
허구,2,2
비인간,2,1
되기,2,1
모호함,2,2
미래적,2,1
문자반죽,2,1
사이키델릭효과,2,1
의미달성,2,1
호모섹슈얼리티,2,1
의미소거,2,1
의미획득,2,1
수난,2,1
시각,2,1
반反―소통anti-communication,2,1
반反―소통,2,1
글쓰기écriture,2,1
소음,2,1
반反-소통의미학,2,1
범주혼돈,2,1
미학적거부,2,1
미적차원의의미,2,1
탐진강,2,1
현상학적환원,2,1
분석철학,2,1
반反-소통미학,2,1
미적형상,2,1
3인칭,2,1
갈등,2,1
멀미,2,1
인형극,2,1
이원론,2,2
헛것,2,1
언어놀이,2,1
배후,2,1
배우,2,1
가까스로가능한,2,1
궁핍한시대,2,1
미래파시인들,2,2
원로시인들,2,1
쉬운시,2,1
난해한시,2,1
상호텍스트,2,1
발화,2,1
표절,2,1
행갈이,2,1
평론가,2,2
시집,2,1
혁신,2,2
개별자,2,1
바벨,2,1
독창성,2,2
각성,2,1
이접,2,1
제조,2,1
목책,2,1
아저씨들,2,1
부정의정신,2,1
현재,2,1
윤리적체제,2,1
테크네,2,1
미메시스,2,1
예술의자율성,2,1
미학적-감성적체제,2,1
오브제,2,1
감수성의괴리,2,1
문학잡지,2,1
감각의최첨단,2,1
새로운도시의시학,2,1
